code,description
90317960,NISSAN
90317959,NISSAN
90317938,NISSAN
90317958,NISSAN
90317957,NISSAN
90317940,NISSAN
90317941,NISSAN
90317962,NISSAN
90317964,NISSAN
90317961,NISSAN
90317963,NISSAN
90318000,NISSAN
90317999,NISSAN
90317942,NISSAN
90317966,NISSAN
90317965,NISSAN
90317943,NISSAN
90317968,NISSAN
90317967,NISSAN
90318002,NISSAN
90318001,NISSAN
90317944,NISSAN
90317977,NISSAN
90317976,NISSAN
90317945,NISSAN
90317985,NISSAN
90317975,NISSAN
90317974,NISSAN
90317946,NISSAN
90317948,NISSAN
90317988,NISSAN
90317979,NISSAN
90317981,NISSAN
90317978,NISSAN
90317980,NISSAN
90317994,NISSAN
90318004,NISSAN
90318003,NISSAN
90317982,NISSAN
90318005,NISSAN
90317947,NISSAN
90317987,NISSAN
90317983,NISSAN
90318006,NISSAN
90317986,NISSAN
90317949,NISSAN
90317989,NISSAN
90317969,NISSAN
90317995,NISSAN
90318007,NISSAN
90317950,NISSAN
90317971,NISSAN
90317970,NISSAN
90317951,NISSAN
90317973,NISSAN
90317972,NISSAN
90318009,NISSAN
90318008,NISSAN
90317990,NISSAN
90317991,NISSAN
90317992,NISSAN
90317996,NISSAN
90317993,NISSAN
90317997,NISSAN
90317934,NISSAN
90317927,TOYOTA
90317928,TOYOTA
90317926,TOYOTA
90318127,VOLKSWAGEN
90318125,VOLKSWAGEN
90318126,VOLKSWAGEN
90317930,VOLKSWAGEN
90318128,VOLKSWAGEN
90317929,VOLKSWAGEN
90318129,CITROEN
90318130,CITROEN
90318131,CITROEN
90318135,FIAT
90318136,FIAT
90318139,FIAT
90318137,FIAT
90318138,FIAT
90318141,MITSUBISHI
90318132,PEUGEOT
90318134,PEUGEOT
90318133,PEUGEOT
90318140,PEUGEOT
90318177,FIAT
90318180,FIAT
90318182,FIAT
90318179,FIAT
90318178,FIAT
90318183,FIAT
90318176,FIAT
90318181,FIAT
90318175,FIAT
90318148,FIAT
90318147,FIAT
90318149,FIAT
90318152,FIAT
90318151,FIAT
90318150,FIAT
90318146,FIAT
90318157,FIAT
90318163,FIAT
90318168,FIAT
90318158,FIAT
90318160,FIAT
90318161,FIAT
90318159,FIAT
90318165,FIAT
90318169,FIAT
90318173,FIAT
90318166,FIAT
90318170,FIAT
90318174,FIAT
90318171,FIAT
90318156,FIAT
90318153,FIAT
90318154,FIAT
90318162,FIAT
90318164,FIAT
90318155,FIAT
90318167,FIAT
90318172,FIAT
90318188,FIAT
90318203,FIAT
90318194,FIAT
90318200,FIAT
90318189,FIAT
90318197,FIAT
90318187,FIAT
90318186,FIAT
90318204,FIAT
90318190,FIAT
90318195,FIAT
90318201,FIAT
90318192,FIAT
90318198,FIAT
90318191,FIAT
90318205,FIAT
90318196,FIAT
90318202,FIAT
90318193,FIAT
90318199,FIAT
90318143,FORD
90318144,FORD
90318142,FORD
90318145,FORD
90318261,MERCEDES-BENZ
90318224,NISSAN
90318231,NISSAN
90318218,NISSAN
90318244,NISSAN
90318245,NISSAN
90318246,NISSAN
90318253,NISSAN
90318212,NISSAN
90318213,NISSAN
90318238,NISSAN
90318239,NISSAN
90318240,NISSAN
90318225,NISSAN
90318226,NISSAN
90318232,NISSAN
90318233,NISSAN
90318219,NISSAN
90318220,NISSAN
90318236,NISSAN
90318206,NISSAN
90318208,NISSAN
90318259,NISSAN
90318257,NISSAN
90318227,NISSAN
90318241,NISSAN
90318242,NISSAN
90318243,NISSAN
90318207,NISSAN
90318247,NISSAN
90318248,NISSAN
90318210,NISSAN
90318211,NISSAN
90318214,NISSAN
90318215,NISSAN
90318216,NISSAN
90318217,NISSAN
90318250,NISSAN
90318252,NISSAN
90318209,NISSAN
90318249,NISSAN
90318251,NISSAN
90318228,NISSAN
90318230,NISSAN
90318234,NISSAN
90318221,NISSAN
90318237,NISSAN
90318223,NISSAN
90318256,NISSAN
90318260,NISSAN
90318258,NISSAN
90318229,NISSAN
90318235,NISSAN
90318222,NISSAN
90318255,NISSAN
90318254,NISSAN
90318271,VAUXHALL
90318268,VAUXHALL
90318273,VAUXHALL
90318275,VAUXHALL
90318272,VAUXHALL
90318269,VAUXHALL
90318274,VAUXHALL
90318276,VAUXHALL
90318270,VAUXHALL
90318278,VAUXHALL
90318281,VAUXHALL
90318277,VAUXHALL
90318280,VAUXHALL
90318279,VAUXHALL
90318282,VAUXHALL
90318307,VAUXHALL
90318292,VAUXHALL
90318306,VAUXHALL
90318291,VAUXHALL
90318295,VAUXHALL
90318308,VAUXHALL
90318293,VAUXHALL
90318284,VAUXHALL
90318288,VAUXHALL
90318283,VAUXHALL
90318287,VAUXHALL
90318309,VAUXHALL
90318294,VAUXHALL
90318286,VAUXHALL
90318290,VAUXHALL
90318285,VAUXHALL
90318289,VAUXHALL
90318297,VAUXHALL
90318301,VAUXHALL
90318296,VAUXHALL
90318300,VAUXHALL
90318304,VAUXHALL
90318299,VAUXHALL
90318303,VAUXHALL
90318298,VAUXHALL
90318302,VAUXHALL
90318305,VAUXHALL
90318334,CITROEN
90318333,CITROEN
90318332,CITROEN
90318316,FIAT
90318314,FIAT
90318317,FIAT
90318315,FIAT
90318320,FORD
90318322,FORD
90318323,FORD
90318326,FORD
90318325,FORD
90318324,FORD
90318327,FORD
90318328,PEUGEOT
90318329,PEUGEOT
